id_x,date,client_id_x,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,id_y,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id,client_id_y,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,transaction_id,is_fraud,hour,day_of_week,is_weekend,is_night,amount_abs,is_negative,is_large_amount,user_avg_amount,user_std_amount,user_max_amount,user_first_tx,user_last_tx,user_tx_count,user_unique_merchants,card_avg_amount,card_std_amount,card_tx_count,card_unique_merchants,merchant_avg_amount,merchant_std_amount,merchant_tx_count,merchant_unique_users,amount_vs_user_avg,amount_vs_card_avg,high_risk_hour,high_risk_day,unusual_amount,fraud_score
21181807,2018-05-03 11:57:00,1669,4359,173.08,Chip Transaction,75034,Rome,Italy,,5045,,1669,44,62,1975,5,Male,6308 Maple Avenue,38.66,-121.62,$25234,$51454,$151162,698,4,4359,1669,Mastercard,Credit,5445286323617902,12/2022,212,YES,2,$5000,08/2011,2011,No,21181807.0,True,11,3,False,False,173.08,False,True,52.45,52.75,180.62,2010-01-02 13:42:00,2019-08-25 12:42:00,47,26,92.5,55.22,12,9,159.65,115.32,13,13,3.2381665107577176,1.8511229946524064,False,False,True,0.8892220019625292
16463989,2015-08-02 13:10:00,1228,3333,146.04,Online Transaction,76639,ONLINE,,,5732,,1228,54,61,1965,7,Male,456 Sixth Boulevard,30.26,-97.74,$23287,$47482,$59590,726,5,3333,1228,Visa,Debit,4200226929304953,01/2022,587,YES,1,$17536,06/2006,2007,No,16463989.0,True,13,6,True,False,146.04,False,False,42.84,67.22,473.0,2010-01-22 12:56:00,2019-10-01 16:09:00,81,34,26.05,36.75,18,11,141.46,177.21,41,40,3.331204379562043,5.3988909426987055,False,True,True,0.8814614070693366
10685211,2012-02-03 16:06:00,1171,5614,164.0,Online Transaction,59474,ONLINE,,,3722,,1171,90,67,1929,12,Male,73 Summit Street,21.4,-157.73,$26370,$39214,$0,781,5,5614,1171,Mastercard,Debit,5726460417448359,01/2021,26,YES,1,$24481,11/2010,2010,No,10685211.0,True,16,4,False,False,164.0,False,True,65.01,70.69,382.83,2010-04-06 21:24:00,2019-09-28 22:05:00,49,27,91.25,102.2,14,11,280.78,131.34,99,98,2.484472049689441,1.7777777777777777,False,False,False,0.833162255289608
21216506,2018-05-10 17:12:00,1669,4359,104.31,Chip Transaction,99370,Rome,Italy,,5311,,1669,44,62,1975,5,Male,6308 Maple Avenue,38.66,-121.62,$25234,$51454,$151162,698,4,4359,1669,Mastercard,Credit,5445286323617902,12/2022,212,YES,2,$5000,08/2011,2011,No,21216506.0,True,17,3,False,False,104.31,False,False,52.45,52.75,180.62,2010-01-02 13:42:00,2019-08-25 12:42:00,47,26,92.5,55.22,12,9,62.76,45.96,248,131,1.95154349859682,1.1156149732620322,False,False,False,0.8294889638235717
17203094,2016-01-07 12:15:00,729,3905,103.18,Online Transaction,60569,ONLINE,,,5300,,729,80,67,1939,4,Female,499 Lafayette Lane,40.28,-86.51,$16421,$24884,$1828,850,6,3905,729,Visa,Credit,4367249512395505,08/2022,956,YES,2,$5700,07/2009,2011,No,17203094.0,True,12,3,False,False,103.18,False,False,51.39,60.11,258.0,2010-02-09 20:17:00,2019-10-27 10:30:00,71,34,99.5,82.58,13,9,65.93,58.94,2354,891,1.969459820576446,1.0266666666666668,False,False,False,0.8152439849915186
18597079,2016-11-01 10:52:00,575,5278,169.48,Online Transaction,75393,ONLINE,,,7996,,575,84,65,1935,12,Male,6478 Valley Stream Avenue,40.15,-74.85,$23207,$26476,$406,813,5,5278,575,Visa,Credit,4506945480857983,05/2023,476,YES,2,$6800,10/2013,2013,No,18597079.0,True,10,1,False,False,169.48,False,True,49.43,38.16,187.37,2010-02-06 03:15:00,2019-09-04 19:11:00,57,28,50.31,55.07,7,6,193.95,77.8,15,14,3.360697997223874,3.3030598323913463,False,False,True,0.8020768700459681
14134381,2014-03-15 10:08:00,1777,2267,241.47,Online Transaction,76639,ONLINE,,,5732,,1777,47,67,1972,5,Male,166 12th Street,38.83,-77.21,$30622,$62432,$95799,741,5,2267,1777,Visa,Credit,4287715741686227,12/2020,945,YES,1,$12700,03/2010,2020,No,14134381.0,True,10,5,True,False,241.47,False,True,43.21,63.76,394.04,2010-01-04 15:07:00,2019-08-24 09:03:00,116,38,53.57,85.26,21,16,141.46,177.21,41,40,5.461886451029179,4.42495876855415,False,True,True,0.7920029696669069
16968537,2015-11-18 14:25:00,984,1208,158.0,Online Transaction,52923,ONLINE,,,3504,,984,63,66,1956,3,Female,642 Ocean View Lane,28.3,-81.41,$16150,$32928,$80794,850,5,1208,984,Discover,Credit,6617667813539645,06/2022,357,YES,2,$6900,02/2010,2015,No,16968537.0,True,14,2,False,False,158.0,False,True,71.35,121.6,946.29,2010-03-28 11:52:00,2019-10-30 10:33:00,87,34,90.46,53.88,15,10,249.31,121.63,113,106,2.183828610919144,1.72753116116335,False,False,False,0.7896791874146281
20011208,2017-08-28 09:19:00,1669,4359,174.1,Online Transaction,726,ONLINE,,,4900,,1669,44,62,1975,5,Male,6308 Maple Avenue,38.66,-121.62,$25234,$51454,$151162,698,4,4359,1669,Mastercard,Credit,5445286323617902,12/2022,212,YES,2,$5000,08/2011,2011,No,20011208.0,False,9,0,False,False,174.1,False,True,52.45,52.75,180.62,2010-01-02 13:42:00,2019-08-25 12:42:00,47,26,92.5,55.22,12,9,119.59,65.23,99,67,3.257249766136576,1.862032085561497,False,False,True,0.7876782808656632
12189893,2013-01-10 12:14:00,1844,2854,137.18,Online Transaction,45453,ONLINE,,,6300,,1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,$23608,$37503,$14272,706,5,2854,1844,Mastercard,Credit,5172743861765175,07/2016,906,YES,1,$15700,05/2004,2011,No,12189893.0,False,12,3,False,False,137.18,False,False,37.85,61.67,386.0,2010-02-03 06:33:00,2019-08-20 06:45:00,74,31,53.97,68.47,15,11,270.93,264.75,17,17,3.531016731016731,2.495543023467346,False,False,True,0.781355274716056
